# number|PDF page|study key|review section suffix|source stem|A|B|C|D
1|1|D|ppp|Which of the following enzymes is important in HMP shunt?|Glucose 6 phosphatase|Phosphoglucomutase|Lactate dehydrogenase|Glucose 6 phosphate dehydrogenase
2|1|B|ppp|Pentose phosphate pathway is responsible to make all the following EXCEPT ...?|CO2|Fructose|Pentose|NADPH
3|2|C|glycolysis|In glycolysis, the synthesis of ATP is catalyzed by ...|Phosphohexose isomerase|Glucokinase|Pyruvate kinase|Aldolase
4|2|C|glycolysis|Which of the following is a high energy molecule?|Dihydroxyacetone-P|Glyceraldehyde 3-P|1,3-bisphosphoglycerate|2-phosphoglycerate
5|3|C|glycolysis-regulation|Which of the following molecules is synthesized in fermentation?|FAD+|FADH|NAD+|NADH
6|3|B|glycolysis-regulation|In Cori's cycle high amounts of which of the following synthesizes lactate?|NAD+|NADH|ATP|AMP
7|4|B|glucose-entry|Which glucose transporter is active in liver tissues?|GLUT-1|GLUT-2|GLUT-3|GLUT-4
8|4|C|gluconeogenesis|Which of the following enzymes is important in gluconeogenesis:|Hexokinase|Glucokinase|Glucose 6 phosphatase|Phosphorylase
9|4|D|gluconeogenesis|How many ATP molecules are required for gluconeogenesis?|1|2|3|4
10|5|A|glycolysis|Where does glycolysis take place?|Cytosol|Mitochondria|Nucleus|Cell membrane
11|5|B|oxphos|Oxidation of one glucose molecule yields how many ATP molecules?|26-28|30-32|34-36|38-40
12|6|B|glycolysis|The end product of glycolysis under AEROBIC conditions is ...|Fructose-6-phosphate|Pyruvic acid|Oxaloacetic acid|Lactic acid
13|6|D|nucleotides|All of the following conditions can lead to hyperuricemia (elevated blood uric acid) and gout, except:|Deficiency in hypoxanthine-guanine phosphoribosyltransferase (HGPRT) enzyme activity|Lactic acidosis|Chronic alcohol consumption|Non-thiazide antihypertensive drugs
14|6|A|nucleotides|All of the following statements about a patient with severe combined immunodeficiency syndrome (SCID) are correct, except:|The patient exhibits lymphocytosis (increased blood lymphocytes).|It is a very rare genetic disease.|There is a deficiency in the enzyme adenosine deaminase.|Without treatment, the patient usually dies before the age of two.
15|7|D|heme|All of the following statements about a patient with acute hepatic porphyria are correct, except:|Symptoms of the disease may be triggered by ethanol consumption.|Symptoms of the disease may be triggered by barbiturate consumption.|Patients are likely to exhibit photosensitivity.|It is caused by a congenital deficiency in the enzyme ferrochelatase.
16|7|A|nucleotides|Which of the following antibiotics is used to treat bacterial infections by inhibiting pyrimidine synthesis?|Sulfamethoxazole|Methotrexate|Hydroxyurea|Allopurinol
17|7|C|heme|Which of the following statements about a patient with Gilbert's syndrome is correct?|Elevated bilirubin has toxic effects on the patient.|More than 80% of UDP-glucuronosyltransferase enzyme activity is reduced.|The disease is more prevalent in individuals of African descent.|Patients require blood exchange to lower bilirubin levels.
18|8|D|heme|All of the following statements about neonatal jaundice are correct, except:|Most full-term newborns experience a temporary increase.|In preterm infants, bilirubin levels may rise to toxic levels.|UV lamp light is used to treat affected newborns.|Conjugated bilirubin (direct bilirubin) levels increase in these newborns.
19|8|D|special-products|Identify the amino acid that is considered a precursor of melanin:|Lysine|Serine|Valine|Tyrosine
20|8|C|aa-disorders|Which of the following enzyme is deficient in phenylketonuria (PKU)?|Homogentisate dioxygenase|p-Hydroxyphenylpyruvate dioxygenase|Phenylalanine hydroxylase|Tyrosinase
21|9|B|aa-disorders|Male patient, 52 years old complained about darkening of urine. Also the urine test for homogentisic acid in the 24-hour urine was positive. What can be diagnosed?|Albinism|Alkaptonuria|Pheochromocytoma|Hartnup disease
22|9|A|aa-carbon|Which of the following amino acids cannot provide a substrate for gluconeogenesis?|Leucine|Tryptophan|Histidine|Alanine
23|10|B|protein-nitrogen|Which vitamin is required as a coenzyme for transamination?|Nicotinamide adenine dinucleotide (NAD)|Pyridoxal-5'-phosphate (PLP)|Flavin mononucleotide (FMN)|Flavin adenine dinucleotide (FAD)
24|10|C|protein-nitrogen|Amino acids are released into the portal system by:|Pinocytosis|Active transport|Facilitated transport|Passive transport
25|10|C|protein-nitrogen|For the ATP-dependent proteasome system, which of the following proteins is required to degrade proteins?|Cyclin|Cytochrome|Ubiquitin|Histone
26|11|A|protein-nitrogen|The amino acid which serves as a carrier of ammonia from skeletal muscle to liver is:|Alanine|Methionine|Arginine|Glutamine
27|11|C|liver-tests|Which of the following are the most important cause of increased alkaline phosphatase activity in serum?|Liver disease, heart attack|Heart attack, prostate disease|Liver disease, bone disease|Bone disease, prostate disease
28|12|C|clinical-enzymes|Which enzyme in the body is measured to diagnose Duchenne sex-linked muscular dystrophy?|Lipase|Nucleotidase|Creatine kinase|Glutamyltransferase
29|12|B|clinical-enzymes|Which of the following enzyme is small enough to pass through the glomeruli of the kidneys?|Acid phosphatase|Amylase|Nucleotidase|Aminotransferase
30|13|C|clinical-enzymes|Nonfunctional plasma enzymes are all, except:|Alkaline phosphatase|Acid phosphatase|Lipoprotein lipase|Gamma glutamyltranspeptidase
31|13|A|oxphos|Which of the complexes of the respiratory chain does not act as a proton pump?|Succinate Q reductase|NADH dehydrogenase|Cytochrome c oxidase|Cytochrome c reductase
32|14|A|oxphos|Which component of the electron transfer chain is involved in the onset of apoptosis?|Cytochrome c|Cytochrome b|Ubiquinone|Cytochrome aa3
33|14|A|oxphos|Which of the complexes of the respiratory chain is inhibited by rotenone?|I|II|III|IV
34|15|A|glycolysis|Which of the following compounds is not a high-energy compound?|Glucose 6 phosphate|Creatine phosphate|Phosphoenolpyruvate|Carbamoyl phosphate
35|15|B|oxphos|Which of the following compounds acts as a separator of phosphorylation from oxidation?|Atractyloside|Thermogenin|Oligomycin|Rotenone
36|16|D|lipid-digestion|What are the primary products of hydrolysis of TAG molecules?|Free cholesterol|Lysophospholipids|Phospholipids|2-monoacylglycerol and free fatty acids
37|16|C|lipoprotein-map|Which of the following is a rare, autosomal-recessive disorder caused by a deficiency of LPL or its coenzyme apo C-II?|Type II hyperlipoproteinemia|Type III hyperlipoproteinemia|Type I hyperlipoproteinemia|Familial dysbetalipoproteinemia
38|16|D|lipoprotein-map|What is necessary for VLDL particles to become functional?|Cholesterol ester transfer protein (CETP) and apo B-100|LDL and HDL|HDL and IDL|Apo CII and apo E from circulating HDL
39|17|A|lipoprotein-map|Which apolipoprotein is recognized by LDL receptors?|Apo B-100|Apo B-48|Apo E|Apo A-I
40|17|C|fatty-acid-synthesis|Acyl carrier protein contains the vitamin:|Biotin|Lipoic acid|Pantothenic acid|Folic acid
41|17|A|gluconeogenesis|Acetyl CoA formed from pyruvate can be used for the synthesis of all the following except:|Glucose|Fatty acids|Cholesterol|Steroid hormones
