# number|PDF page|study key|review section suffix|source stem|A|B|C|D
1|2|D|ppp|Which of the following enzymes is required for the regeneration of reduced glutathione?|Glucose 6 phosphatase|Phosphoglucomutase|Lactate dehydrogenase|Glucose 6 phosphate dehydrogenase
2|2|B|ppp|Pentose phosphate pathway is responsible to make all the following EXCEPT ...|CO2|Fructose|Pentose|NADPH
3|2|C|glycolysis|In glycolysis, the synthesis of ATP is produced by ...|Phosphohexose isomerase|Glucokinase|Pyruvate kinase|Aldolase
4|2|C|glycolysis|Which of the following is a high energy molecule in glycolysis?|Dihydroxyacetone-P|Glyceraldehyde 3-P|1,3-bisphosphoglycerate|2-phosphoglycerate
5|2|C|glycolysis-regulation|Which of the following molecules is synthesized in fermentation?|FAD+|FADH|NAD+|NADH
6|2|A|glycogen|Which of the following enzymes is important in glycogenolysis?|Phosphorylase|Hexokinase|Glucokinase|Phosphatase
7|2|D|glucose-entry|Which glucose transporter is active in muscle tissues?|GLUT-1|GLUT-2|GLUT-3|GLUT-4
8|2|D|gluconeogenesis|All the following enzymes are important in gluconeogenesis except:|PEPCK|Fructose 1,6-bisphosphatase|Glucose 6 phosphatase|Phosphorylase
9|3|B|gluconeogenesis|How many pyruvate molecules are required for gluconeogenesis?|1|2|3|4
10|3|B|pdh-tca|Where does TCA cycle take place?|Cytosol|Mitochondria|Nucleus|Cell membrane
11|3|B|oxphos|Oxidation of one glucose molecule in glycolysis and TCA cycle yields how many ATP molecules (NADH=2.5, FADH=1.5)?|26-28|30-32|34-36|38-40
12|3|B|glycolysis|The end product of glycolysis under AEROBIC conditions is ...|Fructose-6-phosphate|Pyruvic acid|Oxaloacetic acid|Lactic acid
13|3|A|insulin-glucagon|Which tissue plays a central role in processing and distributing dietary nutrients during the absorptive state?|Liver|Adipose tissue|Muscle|Brain
