# number|PDF page|study key|review section suffix|source stem|A|B|C|D
1|2|D|aa-disorders|Maple syrup disease is a disorder due to a deficiency of pathway that degrades:|Tyrosine|Methionine|Tryptophan|Isoleucine
2|2|C|urea|Which of the following statements about the urea cycle is correct?|Argininosuccinate is lysed to urea and ornithine in the urea cycle.|Carbamoyl phosphate supplies both of the nitrogen atoms of urea in the urea cycle.|Arginine is hydrolysed to urea and ornithine in the urea cycle.|The formation of urea from the urea cycle yields energy.
3|2|D|protein-nitrogen|Which of the following statements about transamination reactions is correct?|Transamination reactions involve ATP hydrolysis.|Transamination reactions are irreversible.|Transamination reactions require NAD+ or NADP+.|Transamination reactions require pyridoxal-5'-phosphate (PLP).
4|2|A|aa-carbon|Which of the following amino acids cannot provide a substrate for gluconeogenesis?|Leucine|Tryptophan|Histidine|Isoleucine
5|2|C|protein-nitrogen|Amino acids are released into the portal system by:|Pinocytosis|Active transport|Facilitated diffusion|Passive transport
6|3|A|aa-disorders|Which of the following enzyme is deficient in alkaptonuria?|Homogentisate dioxygenase|p-Hydroxyphenylpyruvate dioxygenase|Phenylalanine hydroxylase|Tyrosinase
7|3|C|protein-nitrogen|Which of the following enzyme catalyze the major mechanism for transporting ammonia in a nontoxic form?|Aminotransferase|Amino acid oxidase|Glutamine synthetase|Threonine dehydrogenase
8|3|D|aa-carbon|Identify the amino acid that participates in methyl group transfer:|Lysine|Serine|Valine|Methionine
9|3|B|clinical-enzymes|Which of the following is the only plasma enzyme normally found in urine?|Acid phosphatase|Amylase|Nucleotidase|Aminotransferase
10|3|B|liver-tests|Which of the following is the most important cause of increased aminotransaminase activity in serum?|Bone disease|Liver disease|Pancreatitis|Brain disease
11|4|C|clinical-enzymes|Serum nonfunctional enzymes are all, except:|Alkaline phosphatase|Acid phosphatase|Lipoprotein lipase|Gamma glutamyltranspeptidase
12|4|C|clinical-enzymes|What enzyme in the body is measured to diagnose rhabdomyolysis?|Lipase|Nucleotidase|Creatine kinase|Glutamyltransferase
13|4|A|nucleotides|All the following compounds are involved in the biosynthesis of purine nucleotides except:|Asparagine|Phosphoribosyl pyrophosphate|Glutamine|Glycine
14|4|B|heme|In which of the following diseases conjugated bilirubin increases?|Gilbert's syndrome|Dubin-Johnson syndrome|Carpenter Crigler syndrome type 2|Hemolytic anemia
15|5|C|nucleotides|Allopurinol inhibits which of the following enzymes?|Dihydrofolate reductase|Adenosine deaminase|Xanthine oxidase|Ribonucleotide reductase
16|5|B|heme|What is the end product of urobilinogen metabolism in the kidney?|Urobilinogen|Urobilin|Stercobilin|Bilirubin
17|5|B|special-products|Creatine is synthesized from which of the following compounds in the liver and kidneys?|Glucose|Arginine|Lysine|Phenylalanine
18|5|B|nucleotides|Fluorouracil inhibits which of the following enzymes?|Ribonucleotide reductase|Thymidylate synthase|Hypoxanthine guanine phosphoribosyltransferase|Xanthine oxidase
19|6|C|oxphos|Which of the following is an inhibitor of ATP/ADP transporter in the mitochondrial inner membrane?|Oligomycin|CN-|Atractyloside|Barbiturates
20|6|A|oxphos|Which part of the respiratory chain has the lowest tendency to oxidize?|Flavin mononucleotide|Cytochrome oxidase|Cytochrome c|Succinate thiokinase
21|6|A|oxphos|Which of the following is an uncoupler of oxidation from phosphorylation?|Thermogenin|Carboxin|Malonate|Rotenone
22|6|D|pdh-tca|In the conversion of pyruvic acid to acetyl coenzyme A, all of the following are involved, EXCEPT:|FAD|TPP|CoA|Biotin
23|7|B|micelles-chylomicrons|All of the following factors play a role in chylomicron metabolism, except:|LPL (lipoprotein lipase)|CET (cholesteryl ester transfer protein)|HDL-C (high-density lipoprotein cholesterol)|Apo CII (apolipoprotein CII)
24|7|C|cholesterol|Which of the following activates the enzyme HMG-CoA reductase?|cAMP|Atorvastatin|Insulin|Protein kinase
25|7|A|beta-oxidation|From the beta-oxidation of myristic acid in the mitochondria, all of the following compounds are produced, except:|Malonyl CoA|Acetyl CoA|FADH2|NADH
26|7|D|fatty-acid-synthesis|Which compound is involved in the transfer of acetyl-CoA from the mitochondria to the cytosol?|Malate|Carnitine|Pyruvate|Citrate
